008_George_Bond,"Amante de los autos y la tecnología"
ANSESALAS1,"geologo forence, analista macrobiotico, consultor web, analista de medios y sociedad"
anspm,"Conductora en @Televisa del Golfo, locutora en @Radio_Formula #Tampico 103.9FM Comunicar mi pasión los reportajes especiales mi hobby,la fotografía mi debilidad"
ANTaxies,"Creada para unir, defender y promocionar a todos los taxistas de España, porque unidos somos mas fuertes."
antenaradio,"Antena Radio, Instituto Mexicano de la Radio"
anthonMv,"Quit looking for a reason to dislike me. I'm cool as shit."
AnthonyAbides,"Yeah? Well... that's just like, your opinion, man"
anthonyrtd,"Avaluos (Catastrales, Comerciales, Fiscales y bancarios) Topografia, GPS. Oficina en Guadalajara y Puerto Vallarta, Trabajamos en Jalisco y Nayarit"
AnthonySkmile,"Απρενδί α εσκριβιρ γριεγο περρας."
Anti_chatarras,"Hartos del servicio de 5ta en la Ciudad de México. No más para allá no voy, no más cobros indebidos, no más carros apestosos!"
anti_kapital,"Comunication, Culture, Web Design, Open Source, Drupal"
anticorrupcion_,"Somos un grupo de ciudadanos conscientes, que unidos, estamos luchando contra la corrupción de políticos que se creen dueños de la #CDMX."
anticorrupt_sys,"La peor desgracia de México son sus políticos, que ya no les importa robar abiertamente y mentir descaradamente!"
Anticristi_,"no_description"
Antifazboy01,"lo que hoy es un sueño,mañana es una realidad"
antik_blue,"Periodista. Adicta a la radio."
Antiparratico,"Abogado Universidad de Los Andes"
AntiPRIANVEM,""
Antizombies,"El sarcasmo es la respuesta inteligente a los ataques burdos Lástima que los tontos no lo entiendan! Y los chairos, menos! Omito algunos signos de puntuación"
AntoliniCano,"Tengo en el cielo a una persona por la que daría todo por volverla a abrazar."
antoncastel,"Hablo poco, escucho mucho."
antonfarrera1,""
antongiral,""
AntoniaGlezM,"Ex Diputada Federal distrito 4 en Jalisco. Sec promocion Politica de la Mujer, 88 y 95, Consejera Estatal."
antonietapr,"Maestria en Admon PublicaEmpresaria. Política Ex Diputada Federal 2009-2012.Ex Candidata a la Alcaldía 2013Conductora en Radio Hablamos por Juárez  1240 AM"
AntonieTATA,"Corría el año de la revolución, Maussan hablaba de visitantes de otro planeta, México era campeón del mundial de fútbol. Recuerdos confusos, mucha felicidad :)"
Antonio1espinn,"Una vida sin amistad no es una vida"
Antonio51blanco,"Los verdaderos amigos son siempre los que menos te esperas que lo serán."
antonio78646876,""
antonio_chancs,"Decoraciones Antony (Mantenimiento, Remodelación y Decoración de interiores y exteriores)."
antonio_escoto,""
antonio_toto1,"Estudiante de Licenciatura en Derecho, Músico.Las intuiciones se tienen o no se tienen. (FRÁGIL)"
Antonioalviss,"Cuando le dices a un amigo ¿me acompañas? y te pregunta ¿a dónde? no es un verdadero amigo"
AntonioArenas19,""
AntonioCamborio,""
antoniocherem,""
antonioek,"Si todos los derechos son reservados, ¿son todos los zurdos muy habladores?http://t.co/quLXeiGr3I"
Antonioelgrande,"Copy Digital. PR y Social Media. Corazón azul y piel dorada. Seguidor del arte, las letras y la justicia social. Fan de Los Simpsons, el cine y el teatro."
Antonioerrano1,"Que es la vida si en tratar de entenderla se nos va la propia vida."
AntonioFls,"Lic. en Relaciones Comerciales Internacionales| MBA| Maestrando MGP #ITESM | Regidor de Comercio y Asuntos Migratorios| #Uruapan | Sapere Aude|"
AntonioHdez88,"The world needs no more guns. The world needs more guitar, bass & drums."
AntonioJacques,""
AntonioJessPare,"La amistad viene la amistad se va, solo la amistad verdadera es la que se queda."
antonioliho,"El futuro es brillante. Leo para ignorar un poquito menos y a veces escribo."
AntonioM646,"Doctor en Psicología. Ateo. Vegetariano. Amo al pueblo EEUU y al pueblo latinoamericano. Pensamiento democrático y socialista. Leo temas del Humanismo secular."
ANTONIOMALAVERR,"Uribista-Colombiano"
antoniomardones,"no_description"
AntonioRoblepTv,"https://t.co/33yfo9LoDW"
Antoniorochape,"Conductor de la edición matutina de En Línea. LG FM. 95.5. Fan del León."
Antoniorochapehttp,"no_description"
AntonioSanguino,"Sociólogo. Magister Desarrollo Regional. CoPresidente Alianza Verde. Doctor en Gobierno y Administración Pública. Concejal de Bogotá."
antoniotorres00,""
antoniovelflo,""
AntonioVnV,"I'm just a soul whose intentions are good. My favorite sad story. /Tu no puedes ser DARKS / Business Administration in Media & Entertainment"
AntonTrillo,"No solo te la pases soñando, vive por realizar esos sueños *kuiiig*Próximo Ingeniero :D"
antonvazzan,""
AntuanConde,"Te quisé, sin querer queriendo, Te quiero queriendo querer, como para pasar el resto de mi vida contigo"
AntunezFrank,""
anuj_esoj,""
Anunez71,"CFO at Interval International Mecico"
anuoraguilar,"Artículos, Noticias y Consejos Prácticos sobre #Marketing, #RedesSociales  y #Publicidad"
anushhan,"Admiro a la gente que admira porque está despierta...!!!"
anval51,""
Anvazher,"Un pirata entre docentes"
AnY_16,""
Any_emurrieta,"Soy Feliz por que amo la vida amo a Dios x el hecho de haberme dado la vida la disfruto al máximo, me gusta luchar por las cosas y sobre todo amo a mi Familia"
ANY_HEREDIA,""
anyan1623,""
anye_Cuervo,""
anyello05_angel,""
anyelyjaqueline,""
Anyienriquez,"Pasión por crear y sentir la vida cada día...seamos proactivos y construyamos nuestra felicidad"
anymolins,""
anytapia10,""
anytera,"comunicóloga y que le gusta tener gente positiva en su vida."
anzaldo_2,""
AOrtizL,"Ingeniero, profesor, padre, scout, conchero, piscis por los cuatro costados, afortunado aunque no lo parezca."
aoviedomx,"Compartir la pasion de vivir cada día en este mundo tan rapido e intenso como el internet."
AP_Noticias,"La cobertura de @AP en Español, minuto a minuto. Noticias, análisis y mucha pasión por la actualidad. Cuenta gestionada por los editores: http://t.co/F2rmdRnV8N"
apachecov27,"If not now....when!"
APanchos,"PUTO EL QUE  LO  LEA"
APASDEM,"Los animales no humanos -en especial los mas próximos a nosotros en la escala evolutiva- son vivo reflejo de lo mejor que tenemos, como humanos."
Apatrirs,"Cuando una mujer se rinde es porque ha vencido.  Aldo Cammarota.  Mi otra cuenta @ApatriStyle"
APau_,"Arquitecta, amo la música y los conciertos"
APDA_AC,"Nuestro objetivo es mejorar la calidad de vida de los animales desarrollando una cultura de respeto y convivencia armónica entre el hombre y los animales"
apelaez1,"Io mi chiamo Alejandro"
apelaezc,"A mi no me nadie que nada a mi ninguno."
aperdomo635,"Pumas,Raiders,Real Madrid y Apolítico de corazon!! Sigueme en Instagram:alberto_perdomo77"
APEREAH,"la lucha es de todos los días, la transformación también, la justicia es urgente!!!"
aperezcanedo,"Periodista que trabaja con periodicidad. Mujer apasionada y esperanzada por un México mejor."
Apestan_JAL,"Difundimos lugares a donde NO acudir en Jalisco por su mal servicio, precio, calidad, trato, instalaciones y demás factores que busca el cliente. Guadalajara"
apharensis1,"Psicólogo cognitivo, U.N. Estos son mis principios. Si a usted no le gustan, tengo otros. (G.M.)"
apinzone,"ITAM y UNAM. Ciudad de México."
apocrifo2015,"Abogado Colombiano, Colombian lawyer, no apoyo partidos politicos, pero si las buenas ideas"
apolobeta,"Geek entre dos mundos: IT y Publicidad. |  Disfruto leer y estar informado. Compartamos el conocimiento."
aponte_andres,""
ApoyoVial,"Información sobre Vialidad en Ciudad de México. Contáctanos también por teléfono 5905(VIAL) 8425."
Applicadoscom,"Esto va de apps."
APPOL_mx,"APPOL: Asesoría Profesional Política. Expertos en manejo de crisis y especialistas en comunicación social. Atención a funcionarios de alto nivel."
appolonia20,"Mereces lo que sueñas"
AppsCo,"Somos Apps punto Co, iniciativa del @Ministerio_TIC Colombia que busca apoyar emprendimientos TIC en el país."
Appy_Geek,"The world's leading Tech news app. Free on iOS http://t.co/VmFDKdm0jS and Android: http://t.co/p2JnMX3I5Y"
Appy_GeekMEX,"APPY GEEK – La aplicación #1 de noticias de tecnología."
aprendodiario,"Fallido aprendiz de quijote"
April_fdez,"I do it just because I can"
AprilArte,"Hippie de corazón, inmersa en ésta vorágine capitalista. Fan de Asimov, Big Bang Theory, Carl Sagan, Star Trek, las flores, las pulseras y los zapatos rojos."
ApU_PaLaCiOs,""
apub72,""
Aqf1975,""
aquenosabiasoax,""
aquino_diogenes,""
aquitoyluis,""
Ar2Charless,"- FIN-"
Ar2DJ,"siempre tengo sueño..."
AR2ROTOTO,"Por favor si te ofende la palabra vete a FB , aqui somos unos groseros Yo si ! Y Ademas ATEO !"
ar_mendariz,""
AR_NA_EZ,"Abogado Penalista. Chingaquedito titulado, el que se lleva se aguanta. #PorUnMexicoATodaMadre"
ara75gaby,""
ARA_NECIA,"Amante de la música y la danza tradicional de Latinoamérica. De izquierda por convicción."
araacr,""
AraBonita_,"Mexicana, hecha en México y por mexicanos"
araceli2394sep,"Eh tenido en mi vida amores vanos,amores vacíos, amores llenos de soledad...!!!"
Aracelihdezg,""
AraceliOcampoFF,"La amistad es como la salud: Nunca nos damos cuenta de su verdadero valor hasta que la perdemos."
AraceliSalaiz,"Arquitecta UNAM"
Aracelisalcedo,"Vive como quieras y deja a los demás hacer lo mismo!!! a final de cuentas, es tu vida!!!"
aragan83,"Qué  viva el Fútbol  y que viva la alegría  que nos genera el deporte.Chivas, Blue Jays, Bulls y Raiders mis equipos.Siempre Positivo.✌✌✌✌✌"
arajusa,"Only one woman in search of love!!! Villahermosa, Tabasco, México."
aramdano,"Con el cabello desordenado ya hace un rato, el hipster de la familia. Ciclista.  #demografía #estadística"
aramellamoyo,"Es un verdadero privilegio haber sobrellevado una vida dificil -Gandhi"
ARamirezM1,""
AranaCervantes,"Periodista, participo en Zona 3 Noticias 91.5 fm de Lunes a Viernes de 9 a 10 horas http://t.co/Lyct3NsPBo"
AranaJaviier,""
ArandentCesar,""
AranzaMK2,""
AranzaSalz,""
AraroMeca,"Filosofía de vida:1.- Hacer lo que se desea.2.- Responsabilizarse de sus actos.3.- SER FELIZ!"
arathpalomera,"Malbec: Vino aromático, afrutado de color rojo vivo, aterciopelado, con elegantes aromas y sabor sofisticado!"
araujo_m7,"esposa y madre dedicada al hogar y a la familia"
ARAUJOGONZ,"Gerente de Asuntos de Gobierno Uber"
ArauzoelVikingo,"Paso de todo..."
Arb_blanco,""
arbey_gzz,"Si corres de tus problemas estarás mas cansado cuando te alcancen."
ArbolDeTocino,"Hazme el Alt+F4"
arc12h,""
arcabe61,""
arcade18,"Me gusta compartir fotos candentes."
Arcalvillo,"Corresponsal de HispanTV Cd. de México, pero le pego al tuit de manera personal"
arcangel1804,"Queremos exclusividad, la demandamos, la buscamos pero al mismo tiempo la violamos."
Arcano1111,""
arceDramon,"Querer ser libre es ser libre."
arceliamijangos,"no_description"
archivoatila1,"Como caballero del aire aprendí el valor de la libertad, como militar el valor del honor y la lealtad, por eso como estudioso del derecho, lucho por la equidad."
arcj715,"COMO DEJAR DE AMARTE"
arcoiris7654321,""
ArcoIrisdicente,"El mundo no es Negro Blanco o Gris... Todo depende del matiz"
ArcosCrazy,"NO LE TENGO MIEDO A LA MUERTE"
ArcticTS,"Arctic Technology Solutions es una empresa 100% mexicana de consultoría en tecnologías de información, orientada a ofrecer desarrollo en servicios tecnológicos."
ardilasf,"Lucha por tus sueños sin importar los obstáculos"
ArdilladelBoske,"Serio, pero divertido, lector d historias. Internacionalista y maritimista."
ardillavainilla,":: Disoñando..."
ardorame,"Mercadóloga, Área: Medios de Comunicación, Favorito: Internet. Creo en: Universo/Amor/Amistad/Familia/Respeto/Crecimiento. All you need is love. #Rans"
areli478,""
ArelisKat,"♥ Creer es Crear - Crear es Crecer ♥Colombia tierra que-herida..."
arellano949,""
ArelyGomezGlz,"Procuradora General de la República"
arelys_grau,""
ArelyTellez,"Conductora de tv-Regia-me encanta sonreír-mi familia: mi todo- amo a los niños- @MarucaGalindo es mi hija- Dios conmigo http://t.co/oMSe0Cszwt"
aremiggr,"Chiapaneca| Derecho UNACH| Derechos Humanos| @MexicoDialogos|@PorAmorSC| Professeure de français| Asesora parlamentaria en @Mx_Diputados"
AreneroEl,"Ni el más cuidadoso, queda limpio.Visitanos:"
areoax,""
AreopagoOficial,""
ARES_39,"Buscador de la Verdad"
AresDevX,""
Aretegriego,"Ateo y apartidista ¿para qué quedarse con un libro si hay millones? Entender es mejor que juzgar."
Arevalo_Josh,"La mitad de lo que publico no lo pienso. Si lees esto quiere decir que ya es hora de que te diga que me gustas, me gustas"
AReyesVigueras,"Periodista #IndicadorPolítico Digital, #Blog Queso, #PAN y Vino y https://t.co/LSsC7pFBpD Cuenta no oficial afiliada a los Testigos del Jedi"
ArgElgrupo,"Twitter acerca de los Derechos De Los Hijos a mantener Relación con sus padres"
argenis3d,""
argmau,"Soy el hijo´e mama... adicto al café, morado y Tico gracias a Dios.. alguna vez fui politólogo?? pues sí.. que les digo, nadie es perfecto!"
ArgothR,"http://t.co/hkWmiwmCPO"
ArguellesMarg,"Convencida y defensora de una Democracia perfectible, compatible con la dignidad humana."
arhuertah,"Software Engineer/Developer focused in .NET Microsoft Technologies"
Ariadna_Barcena,"Lic en Administración Chiva de corazón y fanatica de la Arrolladora!!"
AriadnaFacio,"Nada puede ser tan malo como eso que hicimos y nunca recordamos, como eso que nos hicieron y nunca perdonamos."
ariagrc_,"||1D|| 17/05/15 10:07pm #PDC de #SV"
ariana_flrs,"I'm the biggest loser, with the biggest smile. https://t.co/RALevBRnOA"
arianapamelaa_,"AGC"
arianna_ji,"Divertida, sociable, deportista, me encanta el cine la musica etc."
AriannaEsquive1,"Lic en Mkt. Mtra en Finanzas y Alta Dirección. Directora de Finanzas en Pocket Mexico.Profesora: Ingeniería Industrial. Universidad Nacional Autónoma de Mexico"
AriAriipadilla,"no_description"
arias_nacho,""
Ariasvilla,"Nov. 3/1958. @horalocalbanda @radiochapinero http://t.co/MSyxX2BZ3Thttp://t.co/z1v869Az8n http://t.co/dNzqhAvXSP"
AriasViri,"Host @ElTxoroMatutino | Temixco | Morelos | Cruz Azul | Caprichornio | Revistas | Libros | Películas| Series| Shakifan |"
AriBerrocal,"•sentir, soltar, sonreir•"
Aridaytrs,"Viviendo en medio del Big Bang apunto de explotar"
Ariel_Azecas,"All i want is 100 million dollars and a bad bitch"
ArielAnalista,"Politólogo, master Sociología. Coordinador del Observatorio Fun Paz y Reconciliación, Profesor de la Universidad Externado de Colombia y consultor internacional"
arielbarbosa,"Teoría y práctica del uso de las TIC para el desarrollo social. Diseño, Filosofía e Historia, otras escalas de mis viajes."
ArielGuadarr,"DEPORTISTA   EX GUARDIA FRONTAL  UDG"
ArielKuri,"Historiador."
arielrebollo,"no_description"
ArielSolisSan,"Por una comunicación comprometida y conciente, buscando mayor bienestar a los ciudadanos."
ArielTolima,""
Ariel…,"no_description"
Aries7004,""
ariiperezislas,"“Vacía tu cartera en tu cabeza,para que después tu cabeza llene tu cartera” Mχ/Sρα | Δ |"
ariliz_juarez19,"Orgullosa egresada de la Escuela de Periodismo Carlos Septién y reportera en Quinto Espacio."
arimontesinos,"Chiapaneca/Ciencia Política-UNAM/Cuando los hombres pierden la felicidad es imposible pensar que continúan vivos, Luis Barragán"
ARios637,"Contentisimainstagram:JULIAKARINARI"
AriostoManrique,"Marketing research expert. Founder @TestaMarketing & Partner @BlueBoxMX. Commited to education & entrepreneurship. Married to a queen & father of 2 princesses."
aripazd,"A la grande le puse Cuca"
aris_abc,""
arismtorresd,"CONTADOR PUBLICO DE LA UNIAUTONOMA DE BARRANQUILLA HINCHA DE ATLETICO JUNIOR"
aristeguicnn,"Detrás de escena con el equipo que produce Aristegui en CNN. Los tuits de Carmen se firmarán como -C. Aristegui o -C."
AristeguiOnline,"Esta cuenta es administrada por Carmen Aristegui y el equipo de Aristegui Noticias. Los tuits de Carmen se firmarán como “-C. Aristegui” o “-C.”."
Aristides33,"vengo de la nada y voy errante a todas partes, no traigo nada y no llevo nada, solo estoy  de paso..-"
AristidesRodri,"Abogado por la UNAM, coyoacanense apasionado por la política"
ARISTOTELESGDL,""
aristotelesgk7,""
AristotelesSD,"Gobernador Constitucional del Estado de Jalisco 2013-2018."
ARISTOTELESSD,"Gobernador Constitucional del Estado de Jalisco 2013-2018."
aristotelesSD,"Gobernador Constitucional del Estado de Jalisco 2013-2018."
AristotelesSDhttp,"no_description"
Aristote…,"no_description"
ARISTYKETTY,"100 % reformista"
AristótelesSD,"no_description"
aritreariadna,""
arixiux,""
ariz_monca,"Periodista y paramédico. Me gustan los libros y el café. Opiniones a título personal. https://t.co/VhlN7AIDHs"
ArizmendiRivera,"Aeropuertos México"
ArKaNgeLiToX,"Comunicólogo egresado de la UAM-X. Estudioso, amante del cine, las series, el café y la comida."
ARKI100,"Architect. Retired Hipster. Yogipreneur. I coach the cool kids. Snapchat: arqui14"
arkigabo01,"No al maltrato animal. Sí al maltrato a los políticos."
ARKVAR,""
arleneml07,"Tranquila"
Arlette_Trejo,"Comunicóloga en potencia. Estudiante de Ciencias de la Comunicación en la UNAM. Colaboradora en @JOINmx."
ArletteChapoy,"Guadalajara"
arloalelr,""
Arlyka1Liliana,""
arm_acevedo,"Comedor compulsivo de experiecias. Viajes, gastronomía, moda y aventurero de tiempo completo."
armacorgom,"100% panameño"
Armagedda666,""
armand_trejo,""
ArmandaGG,"Orgullosamente chilanga. Me gustan los gatitos, el café, dormir y @Oli_Benny."
armandazo,"No tiene lugar interesante ficticio para agregar. Seguro tenemos algún fandom en común."
armando83441195,"El éxito tiene una simple fórmula: da lo mejor de ti y puede que a la gente le guste"
armando93711,""
armando_rc,"Abogado y MAP. Consultor. Analista global. Historiador. Escritor. Polemista. Esposo de Luisa. ¡Feliz papá de Armando y de Julián! ¡Y de un Basset Hound!"
armando_regil,"#LetsBe1One / Conferencista / Presidente @ipeamex Think Tank, 1MJxM y MAPS / Escribo: @ElEconomista @El_Pais / @WEF @GlobalShapers / 2libros / Instagram:aregil"
ArmandoAlarconM,"Presidente del Consejo Tecnológico Universitario Sinaloa (@CTU_Sinaloa) | LAF ITESM | Culichi"
ArmandoArrocha,"Cantante & Actor // Singer & Actor // “Music expresses that which cannot be said and on which it is impossible to be silent.” - Victor Hugo"
ArmandoChulin,"Politécnico; ejerzo la docencia y la participación social como medios para la democratización en el acceso al conocimiento y erigir un país para los de abajo."
ArmandoDuarteG,"Prof. Negociación Universidad Externado, CESA y PRIME/ Conferencista Internacional  / Tips diarios de Negociación, Poder e influencia- Opiniones son personales"
ArmandoelFut,"Rodando por la vida"
armandofausti,"Artista, Pintor, Coreografo, Arquitecto,bailarin etc etc. 100% regio"
ArmandoGarciaN,"Jabugo y habanos"
armandogarcian1,"profesor de quimica en el bachillerato orgullosamente UNAM"
armandohko,""
armandojen,""
ArmandoLeneroLL,"no_description"
ArmandoLopezM,""
Armandomen3,""
ArmandoOficialM,"Empresario en la Industria Musical y Presidente en @3MusicMexico, Siempre en Busca de Talento Sigueme y envia tu Material #mimusica contacto@3musicmexico.com"
armandoopalma,"no_description"
armandoproyecto,"Ingeniero Electricista Por el IPN, Actualmente Cursando el Master en Energías Renovables y Eficiencia Energética, Desarrollo de Ingenierías"
ArmandoQG76,""
armandordz,"Así estaba cuando yo llegué"
armandorecillas,""
ArmandoTell,"Buscador de emociones, de lo invisible y olvidado. Mago por accidente y humano por destino... Mi corazón es mi brújula y mi mapa el corazón de los demás.AT"
Armandotrejot,"psicólogo por la UNAM. dedicado a la Educación"
armandovivancog,"Oriundo de Arandas Jalisco apasionado por el Turismo de Reuniones y comprometido con mi @PuertoVallarta Fundador de @iaeemx Capitulo Mexico como Tesorero"
armandovuelo,"Psicólogo, escritor de la vida cotidiana, libre pensador sincero y de corazón y le voy a Pumas goooya defeño o ya no??"
Armani_Ninja,"Empresario, lector asiduo y artista marcial. Generalmente uso trajes y camisas negras con mancuernillas."
armanvarela_3,"Si añades un poco a lo poco, y lo haces con frecuencia, pronto poco llegará a ser mucho."
ARMelgoza,"Ideas sin dispersión. Revista @territorio_mx / Común - Festival de periodismo @FestivalComun"
armin_Smash,"Música...Amigos.... Café...Tabaco..Estudiante Relaciones Internacionales UNAM"
Arminimal825,""
armkings,"♕Kings never die♕"
Armndre,"IBT, Daltónico ∴ Veo la vida de forma diferente. Insta @aacastb"
armonica,"Booking & Medios // @gepegepegepe @pedropiedra @caravanamusica @soledadvelez @congelador @fakuta @asesfalsos @feliciamorales_ @Diosque @protistas @loselectro"
armundia,"Skineeeeer!! jajaja"
ArnEckhore,"soñador,  atrevido, introvertido."
arnldobarr,""
ArnoldTobioM,"Comunicador Social-Periodista,Director Ejecutivo Fundacion Taxista Ejemplar,Director-Presentador Contacto Radio y  El RadioClub del Taxista."
arobles314,""
arodbas,""
arojasal,"Analista Programador. Me gusta comentar o compartir todo tipo de noticia, reportajes, columnas que me llamen la atención."
aroldan13,"Apasionado por el Fútbol Americano, en especial los Raiders de Oakland."
aroose,"libre pensador, feliz"
aroreno,"Hey baby!! =P"
arosagm,""
aroyolis,""
aroza19,""
arpher,"Puebla, México, nací  un 5 de Julio, Productor Asociado en @plasmatvcommx. Un poco resentido con la pinche vida!!"
arq_agor,""
arq_e_saenz,""
Arq_Ortiz87,"Arquitecto Multitask...."
arq_smedina,"Diseño y Construccion"
arqaa,"'Vivir en la cualidad del espejo, no en lo que en él se refleja.' / 'To live in the nature of the mirror and not in the reflections.' (55) Fibonacci year ;)"
ArqAlexCastillo,"no_description"
arqbetanzos,"Arquitecto Urbanista, Mtro. Valuación inmobiliario, ... ARQUITECTURA es un POEMA que se escribe con MATERIALES y trasciende generaciones LBE."
ArqDi3,"no_description"
arqhugoandres,"Estudiante de Arquitectura - Feliz lector de ASOIAF - Escritor en ratos libres - Aficionado al Derecho. Renders y recorridos Virtuales - PANISTA"
arqjuliojimenez,""
arqlavalle,"Arquitecto, interés en la foto, la tecnología y el desarrollo sustentable."
arqlbk,""
ArqOJeda,"la vida es de momentos y hay que aprovecharla al máximo"
arqos_arana,"Los sueños no se conquistan con suerte. Se conquistan con propósito, con pasión, con disciplina, es cuestión de actitud."
arqpevel,""
ARQRIC,"Convencido del uso de tecnologías sustentables en la construcción"
arquigon,"Apasionado de la revitalizacion urbana y fan del diseño, de enseñar y de aprender. Director de Rearquitectura y Presidente del Colegio de Arquitectos de Puebla"
ArquiLanda,"#Arquitecto  una persona normal y en busca de una Vida Mejor  #CompradorCompulsivo #Chacharero #Recolector de tesoros y enemigo del refresco."
Arquisma," | MBA | Architect | Designer | Retail | Latinoamérica | Miami"
ARQUIX360,"no_description"
arr1910,"27 años de hablar con los muertos. Érase una vez México 3. De la revolución a las cavernas. Abril del 2016."
ArrazolaAlfredo,""
ArrebatoFloral,"Arrebato Floral, empresa dedicada al diseño floral y decoración de eventos sociales, con originalidad y profesionalismo."
Arrecho_bta10,"Comunicador social - Javeriano - Gay - Muy arrecho"
arrgelegipcio,"Neoliberal, ¿Y qué?... Interesado en economía, demografía y a veces en política. Kopimista. Trolleando trolls. Mourinhista"
ArribaBogota,"Magazín informativo del canal @Citytv, Horario Lunes a Viernes de 5:45 a.m, 9:30 a.m. ¡#ArribaBogotá, le responde a la ciudad!"
ArribaBogotá,"no_description"
ArrobaJC,"tu tu tu tun tun tun tu tu tu tun tu tun tiritititii there must be some kind of way out of here, said the joker to the thief"
arroyo1990,"#CommunityManager | #SocialMediaManager | #SocialMediaMarketing | #GoogleAdwords | #SEO | #Mercadólogo | #Soñador | ¡#SteelersFan! | ¡100% #Mexicano!"
Ars0n,"Hugin & Munin"
arsalvar,"Trabajo de niño: leo, hablo, escribo y hago numeritos."
Arsenal,"The official club website brings you all the latest #Arsenal news, views and ticket information from Emirates Stadium"
arsihu_88,""
arsol,"Apasionado de la tecnología, macquero , columnista durante algunos años para Interfase de Grupo Reforma, fan del cine, algunas series y de los Dallas Cowboys"
art2roraz,"no_description"
Artasanchez,"En busca de lo naranja y verde. Quisiera vivir en un cuadro de Remedios Varo."
artathoth,""
artbon,""
artcuevas,"Socialdemócrata y progresista - #Socialismodemocrático. Abogado y politólogo por el @ITAM_mx. Trabajando por la #CDMX y #México. OrgComm: @WUDCMexico2018"
arteagajp,"Bogotano, santafereño."
arteagamassieu,"Internacionalista, Political Public Relations, Protocolo. Enamorada de mi país, Moviendo a México!"
artefactom,""
arterwin,""
Artesanoorfebre,""
ArteUrban0DF,"no_description"
artgom2012,""
Arthur_OGR,"Un idiota funcional. Comunicación Audiovisual. #ILoveTheMame IG: Arthur_ogr"
Arthur_Stark_,""
ArthurGel,"La paciencia es un árbol de raíz amarga pero de frutos muy dulces. Amante de la música y del buen comer."
arthurodc007,""
ArthurPartida_,""
arthurun,""
Articulo7_2004,"LUCHADORES SOCIALES PARA QUE LOS MERCADOS PÚBLICOS PREVALEZCAN Y DE ESTA MANERA NUESTRO MÉXICO CONSERVE SUS TRADICIONES."
ArtMarius2,"https://t.co/LyWu3uKLft"
artpilz,"Whatever tomorrow brings, I'll be there."
artsed6x,"zzzzz"
artstamparte,"Soy un príncipe a mi modo"
Artturo_Garcia,"Casi desempleado. Tio de Mayra. Comunicólogo. Sin Talento no busques grandeza, por que nunca la vas a tener"
Artuan_Rock,"-Parido en el SUR...-Pervertido en el CENTRO...-Olvidado por el NORTE...-No quiero que me sigas, sólo me lees... Y TE VAS!!#AzuldeCorazón"
ARTUNDUAGA_,"Director Todelar Noticias 92.9 FM. Vicepresidente contenidos Kienyke https://t.co/NnH19hOVjm"
arturintoledo,"Escritor en Blogger, Youtuber, Experto en NBA , Católico irreverente, Cruz Azul mi equipo de fútbol, soy un tipo relajado y buena onda."
Arturo280782,""
arturo99244,""
Arturo_IV,"Soy una persona que sueña con México, de primer  mundo y sin violencia."
Arturo_Medina_G,"Egresado de EPCSGConductor de Notiformula 7am  (Grupo Formula) y EncadenaTV Fanático del Fut y Americanista de cepa"
arturo_mer,"Marketero Internacional en proceso; mente ambulante. || At Dief ||"
arturoac85,""
arturoacmn,"Aprendiendo a vivir desde el 88 ⚡️"
arturoangel20,"Reportero. Animal Político. aangel@animalpolitico.com (Tweets a título personal)"
ArturoBarrr,"."
arturobetha91,"Sports Marketing / Good Things"
ArturoChande,"Maestría en A. P., Lic. Derecho, Diplomado en Finanzas Públicas. Arrendamiento, Adquisiciones, Contratos y Licitaciones"
arturoCL,""
ArturoDammArnal,"Economista, filósofo. Liberal. Profesor universitario. Periodista. Colaborador de @CapitalMexico y @asuntoskpitales."
ArturoFm21,""
arturogtzrosas,"Puma de corazón, critico de Fútbol y fan de las buenas noticias. Si me das follow te doy Follow."
arturogu_1983,"Panista, americanista y madridista de corazón. Anti AMLO y anti izquierda. Aficionado y defensor de la fiesta brava."
ArturoJH,"They respect you more when you show strength."
arturomacias977,"Conductor TV y eventos especiales, Piloto Helicoptero, Locutor 97.7 FM Mexico, Radio and TV host personality management contacto: pauftes@gmail.com @PauFtes"
ArturoMoreno09,""
ArturoMorenoMX,"Libertario, emprendedor y americanista hasta la médula. Director editorial en @MonitorNacional"
arturoolvera2,"¿Definirme en un par de líneas? Soy Administrador, pero no tan bueno - Instagram/ arthud28"
ArturoParada02,""
arturopimienta,"/Nyctophile/狼/XCIII/OB1/"
arturoregalado,"Estudiante de Ciencia Política. Fanático de la historia, política, economía, los chistes, el buen humor y viajar. Asistente de Investigación en FLACSO  México"
arturorellana,""
ArturoRomo_info,"Reportero de Infochannel - Semanario para la industria #TIC"
ArturoRuiz_99,"When you can't make them see the light, just make them feel the heat."
ArturoSann,"I'd rather be hated for who I am, than loved for who I am not.Kurt Cobain"
ArturososaSosa,"Un hombre afortunado"
arturost,"Arquitectura y Construcción; De-constructivista, Pro High Tech, Fotógrafo Aficionado, Lector Empedernido, Conservador, Sarcástico, Orgullosamente Mexicano."
arturoswaldo,"con México en la piel, pero Canadá en el corazón."
ArturoTorres0,"Escritor de oficio. Socio de @el3ercanal culpables de @mensajedirecto_ #Storytelling En el corazón de @MaryAngie"
Arturstone,""
ArtVandelay10,"Born a poor black child..."
